
7 processes distributed in X-direction
 1 ; processes distributed in Y-direction







Num-X: 7 ; Num-Y: 1 ; Resolution: 800 ; Rank: 3 ; Rank-X: 3 Rank-Y: 0 ; Rows: 116; Cols: 801
Num-X: 7 ; Num-Y: 1 ; Resolution: 800 ; Rank: 0 ; Rank-X: 0 Rank-Y: 0 ; Rows: 116; Cols: 801
Num-X: 7 ; Num-Y: 1 ; Resolution: 800 ; Rank: 6 ; Rank-X: 6 Rank-Y: 0 ; Rows: 112; Cols: 801
Num-X: 7 ; Num-Y: 1 ; Resolution: 800 ; Rank: 5 ; Rank-X: 5 Rank-Y: 0 ; Rows: 116; Cols: 801
Num-X: 7 ; Num-Y: 1 ; Resolution: 800 ; Rank: 1 ; Rank-X: 1 Rank-Y: 0 ; Rows: 116; Cols: 801
Num-X: 7 ; Num-Y: 1 ; Resolution: 900 ; Rank: 3 ; Rank-X: 3 Rank-Y: 0 ; Rows: 130; Cols: 901
Num-X: 7 ; Num-Y: 1 ; Resolution: 800 ; Rank: 4 ; Rank-X: 4 Rank-Y: 0 ; Rows: 116; Cols: 801
Num-X: 7 ; Num-Y: 1 ; Resolution: 800 ; Rank: 2 ; Rank-X: 2 Rank-Y: 0 ; Rows: 116; Cols: 801
Num-X: 7 ; Num-Y: 1 ; Resolution: 900 ; Rank: 6 ; Rank-X: 6 Rank-Y: 0 ; Rows: 128; Cols: 901
Num-X: 7 ; Num-Y: 1 ; Resolution: 900 ; Rank: 0 ; Rank-X: 0 Rank-Y: 0 ; Rows: 130; Cols: 901
Num-X: 7 ; Num-Y: 1 ; Resolution: 900 ; Rank: 5 ; Rank-X: 5 Rank-Y: 0 ; Rows: 130; Cols: 901
Num-X: 7 ; Num-Y: 1 ; Resolution: 900 ; Rank: 1 ; Rank-X: 1 Rank-Y: 0 ; Rows: 130; Cols: 901
Num-X: 7 ; Num-Y: 1 ; Resolution: 900 ; Rank: 2 ; Rank-X: 2 Rank-Y: 0 ; Rows: 130; Cols: 901
