Resolution,O2_L2_TCM,O2_L2_TCA,O2_L3_TCM,O2_L3_TCA,O3_L2_TCM,O3_L2_TCA,O3_L3_TCM,O3_L3_TCA
200,55342,1384436,2767,55342,80523,591742,2980,80523
1200,36259711,245096387,1109768,36259711,36047710,27165234,1288147,36047710
2200,131495679,823507817,89011790,131495679,97677485,104577568,58091171,97677485
3200,260983859,1743136510,210453543,260983859,206054294,228939744,167489749,206054294
4200,467019364,2999803923,409384269,467019364,354324620,396413127,315036026,354324620
5200,918729557,4601070730,680186852,918729557,542474271,614582539,502040718,542474271
6200,1946581820,6539252117,1015392232,1946581820,770781960,874488184,729196050,770781960
