mpiexec -genv I_MPI_DEBUG=4 -n 144
[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 8  Build 20200624 (id: 4f16ad915)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: psm2
[0] MPI startup(): Rank    Pid      Node name     Pin cpu
[0] MPI startup(): 0       535197   i01r01c01s01  {0,48}
[0] MPI startup(): 1       535198   i01r01c01s01  {1,49}
[0] MPI startup(): 2       535199   i01r01c01s01  {2,50}
[0] MPI startup(): 3       535200   i01r01c01s01  {3,51}
[0] MPI startup(): 4       535201   i01r01c01s01  {4,52}
[0] MPI startup(): 5       535202   i01r01c01s01  {5,53}
[0] MPI startup(): 6       535203   i01r01c01s01  {6,54}
[0] MPI startup(): 7       535204   i01r01c01s01  {7,55}
[0] MPI startup(): 8       535205   i01r01c01s01  {8,56}
[0] MPI startup(): 9       535206   i01r01c01s01  {9,57}
[0] MPI startup(): 10      535207   i01r01c01s01  {10,58}
[0] MPI startup(): 11      535208   i01r01c01s01  {11,59}
[0] MPI startup(): 12      535209   i01r01c01s01  {12,60}
[0] MPI startup(): 13      535210   i01r01c01s01  {13,61}
[0] MPI startup(): 14      535211   i01r01c01s01  {14,62}
[0] MPI startup(): 15      535212   i01r01c01s01  {15,63}
[0] MPI startup(): 16      535213   i01r01c01s01  {16,64}
[0] MPI startup(): 17      535214   i01r01c01s01  {17,65}
[0] MPI startup(): 18      535215   i01r01c01s01  {18,66}
[0] MPI startup(): 19      535216   i01r01c01s01  {19,67}
[0] MPI startup(): 20      535217   i01r01c01s01  {20,68}
[0] MPI startup(): 21      535218   i01r01c01s01  {21,69}
[0] MPI startup(): 22      535219   i01r01c01s01  {22,70}
[0] MPI startup(): 23      535220   i01r01c01s01  {23,71}
[0] MPI startup(): 24      535221   i01r01c01s01  {24,72}
[0] MPI startup(): 25      535222   i01r01c01s01  {25,73}
[0] MPI startup(): 26      535223   i01r01c01s01  {26,74}
[0] MPI startup(): 27      535224   i01r01c01s01  {27,75}
[0] MPI startup(): 28      535225   i01r01c01s01  {28,76}
