mpiexec -genv I_MPI_DEBUG=4 -n 192
[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 8  Build 20200624 (id: 4f16ad915)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: psm2
[0] MPI startup(): Rank    Pid      Node name     Pin cpu
[0] MPI startup(): 0       2287310  i01r01c01s02  {0,48}
[0] MPI startup(): 1       2287311  i01r01c01s02  {1,49}
[0] MPI startup(): 2       2287312  i01r01c01s02  {2,50}
[0] MPI startup(): 3       2287313  i01r01c01s02  {3,51}
[0] MPI startup(): 4       2287314  i01r01c01s02  {4,52}
[0] MPI startup(): 5       2287315  i01r01c01s02  {5,53}
[0] MPI startup(): 6       2287316  i01r01c01s02  {6,54}
[0] MPI startup(): 7       2287317  i01r01c01s02  {7,55}
[0] MPI startup(): 8       2287318  i01r01c01s02  {8,56}
[0] MPI startup(): 9       2287319  i01r01c01s02  {9,57}
[0] MPI startup(): 10      2287320  i01r01c01s02  {10,58}
[0] MPI startup(): 11      2287321  i01r01c01s02  {11,59}
[0] MPI startup(): 12      2287322  i01r01c01s02  {12,60}
[0] MPI startup(): 13      2287323  i01r01c01s02  {13,61}
[0] MPI startup(): 14      2287324  i01r01c01s02  {14,62}
[0] MPI startup(): 15      2287325  i01r01c01s02  {15,63}
[0] MPI startup(): 16      2287326  i01r01c01s02  {16,64}
[0] MPI startup(): 17      2287327  i01r01c01s02  {17,65}
[0] MPI startup(): 18      2287328  i01r01c01s02  {18,66}
[0] MPI startup(): 19      2287329  i01r01c01s02  {19,67}
[0] MPI startup(): 20      2287330  i01r01c01s02  {20,68}
[0] MPI startup(): 21      2287331  i01r01c01s02  {21,69}
[0] MPI startup(): 22      2287332  i01r01c01s02  {22,70}
[0] MPI startup(): 23      2287333  i01r01c01s02  {23,71}
[0] MPI startup(): 24      2287334  i01r01c01s02  {24,72}
[0] MPI startup(): 25      2287335  i01r01c01s02  {25,73}
[0] MPI startup(): 26      2287336  i01r01c01s02  {26,74}
[0] MPI startup(): 27      2287337  i01r01c01s02  {27,75}
[0] MPI startup(): 28      2287338  i01r01c01s02  {28,76}
[0] MPI startup(): 29      2287339  i01r01c01s02  {29,77}
[0] MPI startup(): 30      2287340  i01r01c01s02  {30,78}
[0] MPI startup(): 31      2287341  i01r01c01s02  {31,79}
[0] MPI startup(): 32      2287342  i01r01c01s02  {32,80}
[0] MPI startup(): 33      2287343  i01r01c01s02  {33,81}
[0] MPI startup(): 34      2287344  i01r01c01s02  {34,82}
[0] MPI startup(): 35      2287345  i01r01c01s02  {35,83}
[0] MPI startup(): 36      2287346  i01r01c01s02  {36,84}
[0] MPI startup(): 37      2287347  i01r01c01s02  {37,85}
[0] MPI startup(): 38      2287348  i01r01c01s02  {38,86}
[0] MPI startup(): 39      2287349  i01r01c01s02  {39,87}
[0] MPI startup(): 40      2287350  i01r01c01s02  {40,88}
[0] MPI startup(): 41      2287351  i01r01c01s02  {41,89}
[0] MPI startup(): 42      2287352  i01r01c01s02  {42,90}
[0] MPI startup(): 43      2287353  i01r01c01s02  {43,91}
[0] MPI startup(): 44      2287354  i01r01c01s02  {44,92}
[0] MPI startup(): 45      2287355  i01r01c01s02  {45,93}
[0] MPI startup(): 46      2287356  i01r01c01s02  {46,94}
[0] MPI startup(): 47      2287357  i01r01c01s02  {47,95}
[0] MPI startup(): 48      1684524  i01r01c02s07  {0,48}
[0] MPI startup(): 49      1684525  i01r01c02s07  {1,49}
[0] MPI startup(): 50      1684526  i01r01c02s07  {2,50}
[0] MPI startup(): 51      1684527  i01r01c02s07  {3,51}
[0] MPI startup(): 52      1684528  i01r01c02s07  {4,52}
[0] MPI startup(): 53      1684529  i01r01c02s07  {5,53}
[0] MPI startup(): 54      1684530  i01r01c02s07  {6,54}
[0] MPI startup(): 55      1684531  i01r01c02s07  {7,55}
[0] MPI startup(): 56      1684532  i01r01c02s07  {8,56}
[0] MPI startup(): 57      1684533  i01r01c02s07  {9,57}
[0] MPI startup(): 58      1684534  i01r01c02s07  {10,58}
[0] MPI startup(): 59      1684535  i01r01c02s07  {11,59}
[0] MPI startup(): 60      1684536  i01r01c02s07  {12,60}
[0] MPI startup(): 61      1684537  i01r01c02s07  {13,61}
[0] MPI startup(): 62      1684538  i01r01c02s07  {14,62}
[0] MPI startup(): 63      1684539  i01r01c02s07  {15,63}
[0] MPI startup(): 64      1684540  i01r01c02s07  {16,64}
[0] MPI startup(): 65      1684541  i01r01c02s07  {17,65}
[0] MPI startup(): 66      1684542  i01r01c02s07  {18,66}
[0] MPI startup(): 67      1684543  i01r01c02s07  {19,67}
[0] MPI startup(): 68      1684544  i01r01c02s07  {20,68}
[0] MPI startup(): 69      1684545  i01r01c02s07  {21,69}
[0] MPI startup(): 70      1684546  i01r01c02s07  {22,70}
[0] MPI startup(): 71      1684547  i01r01c02s07  {23,71}
[0] MPI startup(): 72      1684548  i01r01c02s07  {24,72}
[0] MPI startup(): 73      1684549  i01r01c02s07  {25,73}
[0] MPI startup(): 74      1684550  i01r01c02s07  {26,74}
[0] MPI startup(): 75      1684551  i01r01c02s07  {27,75}
[0] MPI startup(): 76      1684552  i01r01c02s07  {28,76}
[0] MPI startup(): 77      1684553  i01r01c02s07  {29,77}
[0] MPI startup(): 78      1684554  i01r01c02s07  {30,78}
[0] MPI startup(): 79      1684555  i01r01c02s07  {31,79}
[0] MPI startup(): 80      1684556  i01r01c02s07  {32,80}
[0] MPI startup(): 81      1684557  i01r01c02s07  {33,81}
[0] MPI startup(): 82      1684558  i01r01c02s07  {34,82}
[0] MPI startup(): 83      1684559  i01r01c02s07  {35,83}
[0] MPI startup(): 84      1684560  i01r01c02s07  {36,84}
[0] MPI startup(): 85      1684561  i01r01c02s07  {37,85}
